predicted_categories
"Security; NERC; Agreements
    </ASSISTANT 2>"
"NERC; Meetings; Legislation; Electricity
    </ASSISTANT 2>"
"N/A
    </ASSISTANT 2>"
"Government; Education; Alumni
    </ASSISTANT 2>"
"Legal; Confidential Information; FERC
    </ASSISTANT 2>"
"Energy; Regulation; Enron; California
    </ASSISTANT 2>"
"Calendar; Gas Prices
    </ASSISTANT 2>"
"Employment; Law; EEO-1 Reporting
    </ASSISTANT 2>"
"Business; Letter
    </ASSISTANT 2>"
"Energy; Policy; Meetings
    </ASSISTANT 2>"
"Energy; Standards Setting Organization
    </ASSISTANT 2>"
"Social; Personal
    </ASSISTANT 2>"
"Politics; Legislation
    </ASSISTANT 2>"
"Energy; DOE; Blue Ribbon Panel; Standards
    </ASSISTANT 2>"
"Politics; California; Energy
    </ASSISTANT 2>"
"Presentations; Berkeley; California; National Press Club; Responses
    </ASSISTANT 2>"
"Confidential Information; RFI
    </ASSISTANT 2>"
"CAISO; Minutes; Budget; Fees; Retirement plan; Allocation; Winter assessment; Generator maintenance; MSC selection; FERC RTO seams; CERS settlement; Monthly reports
    </ASSISTANT 2>"
"Energy; California; Power Crisis
    </ASSISTANT 2>"
"California; Regulation
    </ASSISTANT 2>"
"Events; Farewell
    </ASSISTANT 2>"
"Energy; Deregulation; California; Utilities
    </ASSISTANT 2>"
"Politics; Enron
    </ASSISTANT 2>"
"Personal
    </ASSISTANT 2>"
"Energy; California; Electricity; Power Plants; Infrastructure
    </ASSISTANT 2>"
"Travel; Conference
    </ASSISTANT 2>"
"Business; Recession; Leadership; Motivation
    </ASSISTANT 2>"
"Support; Email
    </ASSISTANT 2>"
"Communication; Guinn; Ken
    </ASSISTANT 2>"
"Events; Invitation; JDF
    </ASSISTANT 2>"
"Business; Opportunity
    </ASSISTANT 2>"
"Energy; El Paso; Rumors
    </ASSISTANT 2>"
"Taxation; Deregulation
    </ASSISTANT 2>"
"Politics; Business
    </ASSISTANT 2>"
"Confidential information; Enron; Disagreement; Decision making
    </ASSISTANT 2>"
"Legal; Confidential; Email
    </ASSISTANT 2>"
"Meetings; Priorities
    </ASSISTANT 2>"
"Personal; Birthday
    </ASSISTANT 2>"
"Enron Foundation; Philanthropy; Employee Relations
    </ASSISTANT 2>"
"Enron; Nepal; Press
    </ASSISTANT 2>"
"Resume; Job Application; Humberto Kuhn; EOG Resources
    </ASSISTANT 2>"
"Contact Information
    </ASSISTANT 2>"
"Power Markets; California
    </ASSISTANT 2>"
"Portal; Opinion Leaders
    </ASSISTANT 2>"
"Cost control; Meetings; Enron; Communications
    </ASSISTANT 2>"
"Gas Sales; Legal; Operations
    </ASSISTANT 2>"
"Meetings; BIPAC
    </ASSISTANT 2>"
"Business; Networking; Beta Gamma Sigma
    </ASSISTANT 2>"
"Legislation; Pipeline safety
    </ASSISTANT 2>"
"California Power Crisis; Updates
    </ASSISTANT 2>"
"Scheduling; Washington; Meeting; Ed G.; Ralph Reed
    </ASSISTANT 2>"
"Promotions; Email
    </ASSISTANT 2>"
"Energy; Speech; Senator Hagel
    </ASSISTANT 2>"
"Legal; Committee
    </ASSISTANT 2>"
"Confidential Information; Securities Trading; Enron Wholesale Services; Legal; Policies and Procedures
    </ASSISTANT 2>"
"SBX 6; SBX 33
